Year	Company	Key	PersianName	Reason
1402	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	?????	EBIT	??? (????) ???????	row_not_found
1402	?????	Sales	??? ???????	row_not_found
1403	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	?????	EBIT	??? (????) ???????	row_not_found
1403	?????	Sales	??? ???????	row_not_found
1390	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	?????	EBIT	??? (????) ???????	row_not_found
1395	?????	Sales	??? ???????	row_not_found
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	?????	EBIT	??? (????) ???????	row_not_found
1396	?????	Sales	??? ???????	row_not_found
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	?????	EBIT	??? (????) ???????	row_not_found
1397	?????	Sales	??? ???????	row_not_found
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	?????	EBIT	??? (????) ???????	row_not_found
1398	?????	Sales	??? ???????	row_not_found
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	?????	EBIT	??? (????) ???????	row_not_found
1399	?????	Sales	??? ???????	row_not_found
1400	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	?????	EBIT	??? (????) ???????	row_not_found
1400	?????	Sales	??? ???????	row_not_found
1401	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	?????	EBIT	??? (????) ???????	row_not_found
1401	?????	Sales	??? ???????	row_not_found
1402	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	?????	EBIT	??? (????) ???????	row_not_found
1402	?????	Sales	??? ???????	row_not_found
1403	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	?????	EBIT	??? (????) ???????	row_not_found
1403	?????	Sales	??? ???????	row_not_found
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1400	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1400	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1401	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1398	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1398	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1400	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1401	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1402	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1397	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1398	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1400	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1401	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	???????	EBIT	??? (????) ???????	row_not_found
1390	???????	Sales	??? ???????	row_not_found
1391	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1391	???????	EBIT	??? (????) ???????	row_not_found
1391	???????	Sales	??? ???????	row_not_found
1392	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1392	???????	EBIT	??? (????) ???????	row_not_found
1392	???????	Sales	??? ???????	row_not_found
1393	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1393	???????	EBIT	??? (????) ???????	row_not_found
1393	???????	Sales	??? ???????	row_not_found
1394	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1394	???????	EBIT	??? (????) ???????	row_not_found
1394	???????	Sales	??? ???????	row_not_found
1395	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	???????	EBIT	??? (????) ???????	row_not_found
1395	???????	Sales	??? ???????	row_not_found
1396	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	???????	EBIT	??? (????) ???????	row_not_found
1396	???????	Sales	??? ???????	row_not_found
1397	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	???????	EBIT	??? (????) ???????	row_not_found
1397	???????	Sales	??? ???????	row_not_found
1398	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	???????	EBIT	??? (????) ???????	row_not_found
1398	???????	Sales	??? ???????	row_not_found
1399	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	???????	EBIT	??? (????) ???????	row_not_found
1399	???????	Sales	??? ???????	row_not_found
1400	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	???????	EBIT	??? (????) ???????	row_not_found
1400	???????	Sales	??? ???????	row_not_found
1401	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	???????	EBIT	??? (????) ???????	row_not_found
1401	???????	Sales	??? ???????	row_not_found
1402	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	???????	EBIT	??? (????) ???????	row_not_found
1402	???????	Sales	??? ???????	row_not_found
1403	???????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	???????	EBIT	??? (????) ???????	row_not_found
1403	???????	Sales	??? ???????	row_not_found
1392	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1400	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1389	?????	EBIT	??? (????) ???????	row_not_found
1389	?????	Sales	??? ???????	row_not_found
1389	?????	ROA	????? ????????? ROA	value_na_or_unparseable
1389	?????	ROE	?????? ?????? ROE	value_na_or_unparseable
1389	?????	OperatingMargin	????? ??? ???????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	?????	EBIT	??? (????) ???????	row_not_found
1390	?????	Sales	??? ???????	row_not_found
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1391	?????	EBIT	??? (????) ???????	row_not_found
1391	?????	Sales	??? ???????	row_not_found
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1392	?????	EBIT	??? (????) ???????	row_not_found
1392	?????	Sales	??? ???????	row_not_found
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1393	?????	EBIT	??? (????) ???????	row_not_found
1393	?????	Sales	??? ???????	row_not_found
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1394	?????	EBIT	??? (????) ???????	row_not_found
1394	?????	Sales	??? ???????	row_not_found
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	?????	EBIT	??? (????) ???????	row_not_found
1395	?????	Sales	??? ???????	row_not_found
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	?????	EBIT	??? (????) ???????	row_not_found
1396	?????	Sales	??? ???????	row_not_found
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	?????	EBIT	??? (????) ???????	row_not_found
1397	?????	Sales	??? ???????	row_not_found
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	?????	EBIT	??? (????) ???????	row_not_found
1398	?????	Sales	??? ???????	row_not_found
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	?????	EBIT	??? (????) ???????	row_not_found
1399	?????	Sales	??? ???????	row_not_found
1400	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	?????	EBIT	??? (????) ???????	row_not_found
1400	?????	Sales	??? ???????	row_not_found
1401	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	?????	EBIT	??? (????) ???????	row_not_found
1401	?????	Sales	??? ???????	row_not_found
1402	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	?????	EBIT	??? (????) ???????	row_not_found
1402	?????	Sales	??? ???????	row_not_found
1403	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	?????	EBIT	??? (????) ???????	row_not_found
1403	?????	Sales	??? ???????	row_not_found
1389	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1397	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1401	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1389	?????	EBIT	??? (????) ???????	row_not_found
1389	?????	Sales	??? ???????	row_not_found
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	?????	EBIT	??? (????) ???????	row_not_found
1390	?????	Sales	??? ???????	row_not_found
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1391	?????	EBIT	??? (????) ???????	row_not_found
1391	?????	Sales	??? ???????	row_not_found
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1392	?????	EBIT	??? (????) ???????	row_not_found
1392	?????	Sales	??? ???????	row_not_found
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1393	?????	EBIT	??? (????) ???????	row_not_found
1393	?????	Sales	??? ???????	row_not_found
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1394	?????	EBIT	??? (????) ???????	row_not_found
1394	?????	Sales	??? ???????	row_not_found
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	?????	EBIT	??? (????) ???????	row_not_found
1395	?????	Sales	??? ???????	row_not_found
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	?????	EBIT	??? (????) ???????	row_not_found
1396	?????	Sales	??? ???????	row_not_found
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	?????	EBIT	??? (????) ???????	row_not_found
1397	?????	Sales	??? ???????	row_not_found
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	?????	EBIT	??? (????) ???????	row_not_found
1398	?????	Sales	??? ???????	row_not_found
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	?????	EBIT	??? (????) ???????	row_not_found
1399	?????	Sales	??? ???????	row_not_found
1400	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	?????	EBIT	??? (????) ???????	row_not_found
1400	?????	Sales	??? ???????	row_not_found
1401	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	?????	EBIT	??? (????) ???????	row_not_found
1401	?????	Sales	??? ???????	row_not_found
1402	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	?????	EBIT	??? (????) ???????	row_not_found
1402	?????	Sales	??? ???????	row_not_found
1403	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	?????	EBIT	??? (????) ???????	row_not_found
1403	?????	Sales	??? ???????	row_not_found
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1389	????	EBIT	??? (????) ???????	row_not_found
1389	????	Sales	??? ???????	row_not_found
1390	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	????	EBIT	??? (????) ???????	row_not_found
1390	????	Sales	??? ???????	row_not_found
1391	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1391	????	EBIT	??? (????) ???????	row_not_found
1391	????	Sales	??? ???????	row_not_found
1392	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1392	????	EBIT	??? (????) ???????	row_not_found
1392	????	Sales	??? ???????	row_not_found
1393	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1393	????	EBIT	??? (????) ???????	row_not_found
1393	????	Sales	??? ???????	row_not_found
1394	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1394	????	EBIT	??? (????) ???????	row_not_found
1394	????	Sales	??? ???????	row_not_found
1395	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	????	EBIT	??? (????) ???????	row_not_found
1395	????	Sales	??? ???????	row_not_found
1396	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	????	EBIT	??? (????) ???????	row_not_found
1396	????	Sales	??? ???????	row_not_found
1397	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	????	EBIT	??? (????) ???????	row_not_found
1397	????	Sales	??? ???????	row_not_found
1398	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	????	EBIT	??? (????) ???????	row_not_found
1398	????	Sales	??? ???????	row_not_found
1399	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	????	EBIT	??? (????) ???????	row_not_found
1399	????	Sales	??? ???????	row_not_found
1400	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	????	EBIT	??? (????) ???????	row_not_found
1400	????	Sales	??? ???????	row_not_found
1401	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	????	EBIT	??? (????) ???????	row_not_found
1401	????	Sales	??? ???????	row_not_found
1402	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	????	EBIT	??? (????) ???????	row_not_found
1402	????	Sales	??? ???????	row_not_found
1403	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	????	EBIT	??? (????) ???????	row_not_found
1403	????	Sales	??? ???????	row_not_found
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
