Year	Company	Key	PersianName	Reason
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1402	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1389	?????	EBIT	??? (????) ???????	row_not_found
1389	?????	Sales	??? ???????	row_not_found
1390	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	?????	EBIT	??? (????) ???????	row_not_found
1390	?????	Sales	??? ???????	row_not_found
1391	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1391	?????	EBIT	??? (????) ???????	row_not_found
1391	?????	Sales	??? ???????	row_not_found
1392	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1392	?????	EBIT	??? (????) ???????	row_not_found
1392	?????	Sales	??? ???????	row_not_found
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1393	?????	EBIT	??? (????) ???????	row_not_found
1393	?????	Sales	??? ???????	row_not_found
1394	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1394	?????	EBIT	??? (????) ???????	row_not_found
1394	?????	Sales	??? ???????	row_not_found
1395	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	?????	EBIT	??? (????) ???????	row_not_found
1395	?????	Sales	??? ???????	row_not_found
1396	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	?????	EBIT	??? (????) ???????	row_not_found
1396	?????	Sales	??? ???????	row_not_found
1397	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	?????	EBIT	??? (????) ???????	row_not_found
1397	?????	Sales	??? ???????	row_not_found
1398	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	?????	EBIT	??? (????) ???????	row_not_found
1398	?????	Sales	??? ???????	row_not_found
1399	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	?????	EBIT	??? (????) ???????	row_not_found
1399	?????	Sales	??? ???????	row_not_found
1400	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	?????	EBIT	??? (????) ???????	row_not_found
1400	?????	Sales	??? ???????	row_not_found
1401	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	?????	EBIT	??? (????) ???????	row_not_found
1401	?????	Sales	??? ???????	row_not_found
1402	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	?????	EBIT	??? (????) ???????	row_not_found
1402	?????	Sales	??? ???????	row_not_found
1403	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	?????	EBIT	??? (????) ???????	row_not_found
1403	?????	Sales	??? ???????	row_not_found
1393	?????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1393	?????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1393	?????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1393	?????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1393	?????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	?????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1394	?????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1394	?????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1394	?????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1394	?????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1394	?????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1395	?????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1395	?????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1395	?????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1395	?????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1395	?????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1396	?????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1396	?????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1396	?????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1396	?????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1396	?????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1397	?????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1397	?????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1397	?????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1397	?????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1397	?????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1398	?????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1398	?????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1398	?????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1398	?????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1398	?????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1398	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1401	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1389	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1389	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1389	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1389	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1389	??????	ROA	????? ????????? ROA	value_na_or_unparseable
1389	??????	ROE	?????? ?????? ROE	value_na_or_unparseable
1389	??????	CurrentRatio	???? ????	value_na_or_unparseable
1389	??????	DebtRatio	???? ????	value_na_or_unparseable
1390	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1390	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1390	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1390	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1390	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1391	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1391	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1391	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1391	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1391	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1392	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1392	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1392	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1392	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1392	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1393	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1393	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1393	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1393	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1393	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1394	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1394	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1394	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1394	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1394	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1395	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1395	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1395	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1395	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1395	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1396	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1396	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1396	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1396	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1396	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1397	??????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1397	??????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1397	??????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1397	??????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1397	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1397	??????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1399	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1390	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1390	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1390	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1390	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1390	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1391	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1391	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1391	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1391	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1391	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1391	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1392	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1392	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1392	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1392	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1392	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1393	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1393	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1393	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1393	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1393	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1394	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1394	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1394	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1394	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1394	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1395	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1395	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1395	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1395	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1395	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1396	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1396	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1396	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1396	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1396	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1397	???	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1397	???	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1397	???	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1397	???	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1397	???	Equity	??? ???? ?????? ????	value_na_or_unparseable
1389	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1389	????	EBIT	??? (????) ???????	row_not_found
1389	????	Sales	??? ???????	row_not_found
1390	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	????	EBIT	??? (????) ???????	row_not_found
1390	????	Sales	??? ???????	row_not_found
1396	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	????	EBIT	??? (????) ???????	row_not_found
1396	????	Sales	??? ???????	row_not_found
1397	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	????	EBIT	??? (????) ???????	row_not_found
1397	????	Sales	??? ???????	row_not_found
1398	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	????	EBIT	??? (????) ???????	row_not_found
1398	????	Sales	??? ???????	row_not_found
1399	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	????	EBIT	??? (????) ???????	row_not_found
1399	????	Sales	??? ???????	row_not_found
1400	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	????	EBIT	??? (????) ???????	row_not_found
1400	????	Sales	??? ???????	row_not_found
1401	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	????	EBIT	??? (????) ???????	row_not_found
1401	????	Sales	??? ???????	row_not_found
1402	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	????	EBIT	??? (????) ???????	row_not_found
1402	????	Sales	??? ???????	row_not_found
1403	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	????	EBIT	??? (????) ???????	row_not_found
1403	????	Sales	??? ???????	row_not_found
1395	????	CurrentAssets	??? ?????????? ????	value_na_or_unparseable
1395	????	CurrentLiabilities	??? ???????? ????	value_na_or_unparseable
1395	????	TotalAssets	??? ?? ?????????	value_na_or_unparseable
1395	????	TotalLiabilities	??? ?? ???????	value_na_or_unparseable
1395	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	????	EBIT	??? (????) ???????	row_not_found
1395	????	Sales	??? ???????	row_not_found
1395	????	Equity	??? ???? ?????? ????	value_na_or_unparseable
1395	????	ROA	????? ????????? ROA	value_na_or_unparseable
1395	????	ROE	?????? ?????? ROE	value_na_or_unparseable
1395	????	CurrentRatio	???? ????	value_na_or_unparseable
1395	????	DebtRatio	???? ????	value_na_or_unparseable
1392	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1399	????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1389	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1389	???	EBIT	??? (????) ???????	row_not_found
1389	???	Sales	??? ???????	row_not_found
1390	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1390	???	EBIT	??? (????) ???????	row_not_found
1390	???	Sales	??? ???????	row_not_found
1391	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1391	???	EBIT	??? (????) ???????	row_not_found
1391	???	Sales	??? ???????	row_not_found
1392	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1392	???	EBIT	??? (????) ???????	row_not_found
1392	???	Sales	??? ???????	row_not_found
1393	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1393	???	EBIT	??? (????) ???????	row_not_found
1393	???	Sales	??? ???????	row_not_found
1394	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1394	???	EBIT	??? (????) ???????	row_not_found
1394	???	Sales	??? ???????	row_not_found
1395	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1395	???	EBIT	??? (????) ???????	row_not_found
1395	???	Sales	??? ???????	row_not_found
1396	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1396	???	EBIT	??? (????) ???????	row_not_found
1396	???	Sales	??? ???????	row_not_found
1397	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1397	???	EBIT	??? (????) ???????	row_not_found
1397	???	Sales	??? ???????	row_not_found
1398	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1398	???	EBIT	??? (????) ???????	row_not_found
1398	???	Sales	??? ???????	row_not_found
1399	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1399	???	EBIT	??? (????) ???????	row_not_found
1399	???	Sales	??? ???????	row_not_found
1400	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1400	???	EBIT	??? (????) ???????	row_not_found
1400	???	Sales	??? ???????	row_not_found
1401	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1401	???	EBIT	??? (????) ???????	row_not_found
1401	???	Sales	??? ???????	row_not_found
1402	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1402	???	EBIT	??? (????) ???????	row_not_found
1402	???	Sales	??? ???????	row_not_found
1403	???	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	row_not_found
1403	???	EBIT	??? (????) ???????	row_not_found
1403	???	Sales	??? ???????	row_not_found
1391	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1392	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1393	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1394	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1395	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
1396	??????	RetainedEarnings	??? ? ???? ??????? ?? ????? ????	value_na_or_unparseable
